PUBLIC ROUTE,TITLE,DESCRIPTION,CANONICAL,INDEXABLE?,STRUCTURED DATA TYPE
"/","Janhavi Dhote | Computer Engineering, Systems & AI","Georgia Tech Computer Engineering student Janhavi Dhote builds software systems, AI and computer vision, embedded hardware, networks, and security projects.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/","Yes","WebSite"
"/work","Projects | Janhavi Dhote","Software, AI, systems, FPGA, database, robotics, and embedded projects by Georgia Tech Computer Engineering student Janhavi Dhote.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/work","Yes","CollectionPage"
"/about","About Janhavi Dhote | Georgia Tech Computer Engineering","About Janhavi Dhote, a Georgia Tech Computer Engineering student working across systems, AI, embedded hardware, networks, databases, research, and teaching.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/about","Yes","ProfilePage + Person"
"/work/curalink","CuraLink | AI / Vision — Janhavi Dhote","CuraLink: In-the-moment visual and voice assistance for people with Alzheimer’s, with caregiver oversight.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/work/curalink","Yes","CreativeWork / SoftwareSourceCode"
"/work/office-hours-kiosk","Office Hours Queue & TA Kiosk | Systems / Embedded — Janhavi Dhote","Office Hours Queue & TA Kiosk: A Raspberry Pi check-in, staffing, and student queue system for engineering office hours.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/work/office-hours-kiosk","Yes","CreativeWork / SoftwareSourceCode"
"/work/greenbuy","GreenBuy | Software / Optimization — Janhavi Dhote","GreenBuy: Neighborhood-scale collective purchasing for sustainability upgrades.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/work/greenbuy","Yes","CreativeWork / SoftwareSourceCode"
"/work/fpga-math-unit","Custom Math Unit – FPGA Peripheral | Digital Hardware — Janhavi Dhote","Custom Math Unit – FPGA Peripheral: A custom FPGA processor peripheral implementing hardware arithmetic and processor communication.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/work/fpga-math-unit","Yes","CreativeWork / SoftwareSourceCode"
"/work/embedded-game","Embedded Game System | Embedded — Janhavi Dhote","Embedded Game System: A real-time game engine and 40 × 25 world rendered on constrained Mbed hardware.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/work/embedded-game","Yes","CreativeWork / SoftwareSourceCode"
"/work/lifelens","LifeLens | ML / Full Stack — Janhavi Dhote","LifeLens: Health risk models, conversational assistance, and provider discovery in one prototype.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/work/lifelens","Yes","CreativeWork / SoftwareSourceCode"
"/work/er-hospital-system","ER Hospital Management System | Databases — Janhavi Dhote","ER Hospital Management System: A relational hospital workflow model with stored procedures, views, and a test interface.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/work/er-hospital-system","Yes","CreativeWork / SoftwareSourceCode"
"/work/studybuddy","StudyBuddy | Android — Janhavi Dhote","StudyBuddy: Study-session planning and progress tracking for Android.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/work/studybuddy","Yes","CreativeWork / SoftwareSourceCode"
